"state_code.x","state","uf","mesorregiao_code","mesorregiao","microrregiao_code","microrregiao","RM","municipio_code","municipio","city_without_symbol","city","year","month","number_deaths"
27,"AL","Alagoas","03","Leste Alagoano","011","Maceió","RM Maceio",2704302,"Maceió","maceio","Maceio",2019,1,591
27,"AL","Alagoas","03","Leste Alagoano","011","Maceió","RM Maceio",2704302,"Maceió","maceio","Maceio",2019,2,565
27,"AL","Alagoas","03","Leste Alagoano","011","Maceió","RM Maceio",2704302,"Maceió","maceio","Maceio",2019,3,594
27,"AL","Alagoas","03","Leste Alagoano","011","Maceió","RM Maceio",2704302,"Maceió","maceio","Maceio",2019,4,561
27,"AL","Alagoas","03","Leste Alagoano","011","Maceió","RM Maceio",2704302,"Maceió","maceio","Maceio",2019,5,692
27,"AL","Alagoas","03","Leste Alagoano","011","Maceió","RM Maceio",2704302,"Maceió","maceio","Maceio",2019,6,533
27,"AL","Alagoas","03","Leste Alagoano","011","Maceió","RM Maceio",2704302,"Maceió","maceio","Maceio",2019,7,541
27,"AL","Alagoas","03","Leste Alagoano","011","Maceió","RM Maceio",2704302,"Maceió","maceio","Maceio",2019,8,580
27,"AL","Alagoas","03","Leste Alagoano","011","Maceió","RM Maceio",2704302,"Maceió","maceio","Maceio",2019,9,552
27,"AL","Alagoas","03","Leste Alagoano","011","Maceió","RM Maceio",2704302,"Maceió","maceio","Maceio",2019,10,552
27,"AL","Alagoas","03","Leste Alagoano","011","Maceió","RM Maceio",2704302,"Maceió","maceio","Maceio",2019,11,550
27,"AL","Alagoas","03","Leste Alagoano","011","Maceió","RM Maceio",2704302,"Maceió","maceio","Maceio",2019,12,551
27,"AL","Alagoas","03","Leste Alagoano","011","Maceió","RM Maceio",2704302,"Maceió","maceio","Maceio",2020,1,581
27,"AL","Alagoas","03","Leste Alagoano","011","Maceió","RM Maceio",2704302,"Maceió","maceio","Maceio",2020,2,552
27,"AL","Alagoas","03","Leste Alagoano","011","Maceió","RM Maceio",2704302,"Maceió","maceio","Maceio",2020,3,536
27,"AL","Alagoas","03","Leste Alagoano","011","Maceió","RM Maceio",2704302,"Maceió","maceio","Maceio",2020,4,614
27,"AL","Alagoas","03","Leste Alagoano","011","Maceió","RM Maceio",2704302,"Maceió","maceio","Maceio",2020,5,1087
27,"AL","Alagoas","03","Leste Alagoano","011","Maceió","RM Maceio",2704302,"Maceió","maceio","Maceio",2020,6,884
13,"AM","Amazonas","03","Centro Amazonense","007","Manaus","RM Manaus",1302603,"Manaus","manaus","Manaus",2019,1,1013
13,"AM","Amazonas","03","Centro Amazonense","007","Manaus","RM Manaus",1302603,"Manaus","manaus","Manaus",2019,2,1016
13,"AM","Amazonas","03","Centro Amazonense","007","Manaus","RM Manaus",1302603,"Manaus","manaus","Manaus",2019,3,1056
13,"AM","Amazonas","03","Centro Amazonense","007","Manaus","RM Manaus",1302603,"Manaus","manaus","Manaus",2019,4,1026
13,"AM","Amazonas","03","Centro Amazonense","007","Manaus","RM Manaus",1302603,"Manaus","manaus","Manaus",2019,5,1025
13,"AM","Amazonas","03","Centro Amazonense","007","Manaus","RM Manaus",1302603,"Manaus","manaus","Manaus",2019,6,965
13,"AM","Amazonas","03","Centro Amazonense","007","Manaus","RM Manaus",1302603,"Manaus","manaus","Manaus",2019,7,1068
13,"AM","Amazonas","03","Centro Amazonense","007","Manaus","RM Manaus",1302603,"Manaus","manaus","Manaus",2019,8,1072
13,"AM","Amazonas","03","Centro Amazonense","007","Manaus","RM Manaus",1302603,"Manaus","manaus","Manaus",2019,9,997
13,"AM","Amazonas","03","Centro Amazonense","007","Manaus","RM Manaus",1302603,"Manaus","manaus","Manaus",2019,10,1053
13,"AM","Amazonas","03","Centro Amazonense","007","Manaus","RM Manaus",1302603,"Manaus","manaus","Manaus",2019,11,919
13,"AM","Amazonas","03","Centro Amazonense","007","Manaus","RM Manaus",1302603,"Manaus","manaus","Manaus",2019,12,1024
13,"AM","Amazonas","03","Centro Amazonense","007","Manaus","RM Manaus",1302603,"Manaus","manaus","Manaus",2020,1,1121
13,"AM","Amazonas","03","Centro Amazonense","007","Manaus","RM Manaus",1302603,"Manaus","manaus","Manaus",2020,2,976
13,"AM","Amazonas","03","Centro Amazonense","007","Manaus","RM Manaus",1302603,"Manaus","manaus","Manaus",2020,3,1048
13,"AM","Amazonas","03","Centro Amazonense","007","Manaus","RM Manaus",1302603,"Manaus","manaus","Manaus",2020,4,2656
13,"AM","Amazonas","03","Centro Amazonense","007","Manaus","RM Manaus",1302603,"Manaus","manaus","Manaus",2020,5,2213
13,"AM","Amazonas","03","Centro Amazonense","007","Manaus","RM Manaus",1302603,"Manaus","manaus","Manaus",2020,6,1197
