"rm","cidade","state","state_code","cod_ibge","capital","year","month","number_deaths"
"São Paulo","São Paulo","SP",35,"3550308",1,2019,1,7794
"São Paulo","São Paulo","SP",35,"3550308",1,2019,2,6391
"São Paulo","São Paulo","SP",35,"3550308",1,2019,3,6615
"São Paulo","São Paulo","SP",35,"3550308",1,2019,4,6943
"São Paulo","São Paulo","SP",35,"3550308",1,2019,5,7881
"São Paulo","São Paulo","SP",35,"3550308",1,2019,6,7591
"São Paulo","São Paulo","SP",35,"3550308",1,2019,7,8579
"São Paulo","São Paulo","SP",35,"3550308",1,2019,8,7796
"São Paulo","São Paulo","SP",35,"3550308",1,2019,9,7253
"São Paulo","São Paulo","SP",35,"3550308",1,2019,10,7320
"São Paulo","São Paulo","SP",35,"3550308",1,2019,11,6981
"São Paulo","São Paulo","SP",35,"3550308",1,2019,12,6443
"São Paulo","São Paulo","SP",35,"3550308",1,2020,1,8127
"São Paulo","São Paulo","SP",35,"3550308",1,2020,2,6088
"São Paulo","São Paulo","SP",35,"3550308",1,2020,3,7656
"São Paulo","São Paulo","SP",35,"3550308",1,2020,4,9362
"São Paulo","São Paulo","SP",35,"3550308",1,2020,5,9915
"São Paulo","São Paulo","SP",35,"3550308",1,2020,6,10841
"Rio de Janeiro","Rio de Janeiro","RJ",33,"3304557",1,2019,1,5702
"Rio de Janeiro","Rio de Janeiro","RJ",33,"3304557",1,2019,2,4998
"Rio de Janeiro","Rio de Janeiro","RJ",33,"3304557",1,2019,3,5146
"Rio de Janeiro","Rio de Janeiro","RJ",33,"3304557",1,2019,4,5459
"Rio de Janeiro","Rio de Janeiro","RJ",33,"3304557",1,2019,5,6026
"Rio de Janeiro","Rio de Janeiro","RJ",33,"3304557",1,2019,6,5736
"Rio de Janeiro","Rio de Janeiro","RJ",33,"3304557",1,2019,7,5835
"Rio de Janeiro","Rio de Janeiro","RJ",33,"3304557",1,2019,8,5556
"Rio de Janeiro","Rio de Janeiro","RJ",33,"3304557",1,2019,9,5352
"Rio de Janeiro","Rio de Janeiro","RJ",33,"3304557",1,2019,10,5309
"Rio de Janeiro","Rio de Janeiro","RJ",33,"3304557",1,2019,11,5116
"Rio de Janeiro","Rio de Janeiro","RJ",33,"3304557",1,2019,12,5318
"Rio de Janeiro","Rio de Janeiro","RJ",33,"3304557",1,2020,1,5386
"Rio de Janeiro","Rio de Janeiro","RJ",33,"3304557",1,2020,2,4939
"Rio de Janeiro","Rio de Janeiro","RJ",33,"3304557",1,2020,3,5525
"Rio de Janeiro","Rio de Janeiro","RJ",33,"3304557",1,2020,4,8105
"Rio de Janeiro","Rio de Janeiro","RJ",33,"3304557",1,2020,5,10301
"Rio de Janeiro","Rio de Janeiro","RJ",33,"3304557",1,2020,6,5882
"Belo Horizonte","Belo Horizonte","MG",31,"3106200",1,2019,1,1132
"Belo Horizonte","Belo Horizonte","MG",31,"3106200",1,2019,2,983
"Belo Horizonte","Belo Horizonte","MG",31,"3106200",1,2019,3,1128
"Belo Horizonte","Belo Horizonte","MG",31,"3106200",1,2019,4,1074
"Belo Horizonte","Belo Horizonte","MG",31,"3106200",1,2019,5,1226
"Belo Horizonte","Belo Horizonte","MG",31,"3106200",1,2019,6,1226
