"city","number_deaths","state","state_code","month","year"
"Acrelândia",3,"AC",12,1,2019
"Brasiléia",12,"AC",12,1,2019
"Bujari",1,"AC",12,1,2019
"Capixaba",1,"AC",12,1,2019
"Cruzeiro do Sul",43,"AC",12,1,2019
"Epitaciolândia",4,"AC",12,1,2019
"Feijó",10,"AC",12,1,2019
"Mâncio Lima",6,"AC",12,1,2019
"Manoel Urbano",2,"AC",12,1,2019
"Plácido de Castro",8,"AC",12,1,2019
"Porto Acre",3,"AC",12,1,2019
"Porto Walter",1,"AC",12,1,2019
"Rio Branco",154,"AC",12,1,2019
"Rodrigues Alves",2,"AC",12,1,2019
"Senador Guiomard",6,"AC",12,1,2019
"Sena Madureira",16,"AC",12,1,2019
"Tarauacá",13,"AC",12,1,2019
"Xapuri",11,"AC",12,1,2019
"Acrelândia",3,"AC",12,2,2019
"Brasiléia",11,"AC",12,2,2019
"Bujari",1,"AC",12,2,2019
"Capixaba",2,"AC",12,2,2019
"Cruzeiro do Sul",42,"AC",12,2,2019
"Epitaciolândia",7,"AC",12,2,2019
"Feijó",14,"AC",12,2,2019
"Mâncio Lima",7,"AC",12,2,2019
"Manoel Urbano",1,"AC",12,2,2019
"Plácido de Castro",5,"AC",12,2,2019
"Porto Acre",3,"AC",12,2,2019
"Rio Branco",151,"AC",12,2,2019
"Rodrigues Alves",1,"AC",12,2,2019
"Senador Guiomard",11,"AC",12,2,2019
"Sena Madureira",15,"AC",12,2,2019
"Tarauacá",14,"AC",12,2,2019
"Xapuri",11,"AC",12,2,2019
"Acrelândia",3,"AC",12,3,2019
"Brasiléia",9,"AC",12,3,2019
"Bujari",3,"AC",12,3,2019
"Capixaba",7,"AC",12,3,2019
"Cruzeiro do Sul",40,"AC",12,3,2019
"Epitaciolândia",2,"AC",12,3,2019
"Feijó",10,"AC",12,3,2019
"Mâncio Lima",5,"AC",12,3,2019
"Manoel Urbano",9,"AC",12,3,2019
"Plácido de Castro",2,"AC",12,3,2019
"Porto Acre",4,"AC",12,3,2019
"Porto Walter",1,"AC",12,3,2019
"Rio Branco",181,"AC",12,3,2019
"Santa Rosa do Purus",2,"AC",12,3,2019
"Senador Guiomard",14,"AC",12,3,2019
"Sena Madureira",9,"AC",12,3,2019
"Tarauacá",18,"AC",12,3,2019
"Xapuri",9,"AC",12,3,2019
"Acrelândia",5,"AC",12,4,2019
"Brasiléia",11,"AC",12,4,2019
"Bujari",3,"AC",12,4,2019
"Capixaba",5,"AC",12,4,2019
"Cruzeiro do Sul",45,"AC",12,4,2019
