"state","number_deaths","month","year"
"AC",296,1,2019
"AL",1149,1,2019
"AP",233,1,2019
"AM",1147,1,2019
"BA",5533,1,2019
"CE",3544,1,2019
"DF",1198,1,2019
"ES",2156,1,2019
"GO",2793,1,2019
"MA",1865,1,2019
"MT",984,1,2019
"MS",1347,1,2019
"MG",11202,1,2019
"PA",2199,1,2019
"PB",2261,1,2019
"PR",5768,1,2019
"PE",5061,1,2019
"PI",1364,1,2019
"RJ",10946,1,2019
"RN",1391,1,2019
"RS",6789,1,2019
"RO",751,1,2019
"RR",175,1,2019
"SC",3570,1,2019
"SP",27781,1,2019
"SE",1068,1,2019
"TO",659,1,2019
"AC",299,2,2019
"AL",1033,2,2019
"AP",196,2,2019
"AM",1117,2,2019
"BA",4952,2,2019
"CE",3057,2,2019
"DF",1064,2,2019
"ES",1735,2,2019
"GO",2325,2,2019
"MA",1690,2,2019
"MT",858,2,2019
"MS",1136,2,2019
"MG",8958,2,2019
"PA",1994,2,2019
"PB",1977,2,2019
"PR",4825,2,2019
"PE",4469,2,2019
"PI",1067,2,2019
"RJ",9491,2,2019
"RN",1184,2,2019
"RS",6022,2,2019
"RO",436,2,2019
"RR",120,2,2019
"SC",3130,2,2019
"SP",22814,2,2019
"SE",950,2,2019
"TO",548,2,2019
"AC",328,3,2019
"AL",1240,3,2019
"AP",216,3,2019
"AM",1200,3,2019
"BA",4794,3,2019
"CE",3430,3,2019
"DF",1182,3,2019
"ES",1987,3,2019
"GO",2507,3,2019
"MA",1725,3,2019
"MT",1084,3,2019
"MS",1174,3,2019
"MG",9632,3,2019
"PA",2122,3,2019
"PB",2128,3,2019
"PR",5226,3,2019
"PE",4963,3,2019
"PI",1171,3,2019
"RJ",10100,3,2019
"RN",1270,3,2019
"RS",6458,3,2019
"RO",462,3,2019
"RR",161,3,2019
"SC",3122,3,2019
"SP",23470,3,2019
"SE",1065,3,2019
"TO",543,3,2019
"AC",331,4,2019
"AL",1317,4,2019
"AP",251,4,2019
"AM",1194,4,2019
"BA",5107,4,2019
"CE",3897,4,2019
"DF",1257,4,2019
"ES",2022,4,2019
"GO",2749,4,2019
"MA",1833,4,2019
"MT",1105,4,2019
"MS",1292,4,2019
"MG",10620,4,2019
"PA",2303,4,2019
"PB",2383,4,2019
"PR",5611,4,2019
"PE",5256,4,2019
"PI",1266,4,2019
"RJ",11895,4,2019
"RN",1439,4,2019
"RS",6865,4,2019
"RO",753,4,2019
"RR",189,4,2019
"SC",3277,4,2019
"SP",25414,4,2019
"SE",1072,4,2019
"TO",595,4,2019
"AC",316,5,2019
"AL",1508,5,2019
"AP",211,5,2019
"AM",1178,5,2019
"BA",5631,5,2019
"CE",3738,5,2019
"DF",1294,5,2019
"ES",2138,5,2019
"GO",2746,5,2019
"MA",1989,5,2019
"MT",1141,5,2019
"MS",1384,5,2019
"MG",11313,5,2019
"PA",2477,5,2019
"PB",2470,5,2019
"PR",6097,5,2019
"PE",5398,5,2019
"PI",1442,5,2019
"RJ",13090,5,2019
"RN",1559,5,2019
"RS",7342,5,2019
"RO",744,5,2019
"RR",201,5,2019
"SC",3414,5,2019
"SP",27778,5,2019
"SE",1128,5,2019
"TO",640,5,2019
"AC",289,6,2019
"AL",1160,6,2019
"AP",201,6,2019
"AM",1083,6,2019
"BA",5253,6,2019
"CE",3288,6,2019
"DF",1287,6,2019
"ES",2085,6,2019
"GO",2648,6,2019
"MA",1652,6,2019
"MT",1093,6,2019
"MS",1426,6,2019
"MG",10236,6,2019
"PA",1697,6,2019
"PB",2143,6,2019
"PR",5930,6,2019
"PE",4995,6,2019
"PI",1159,6,2019
