"date","state","age_group","gender","number_deaths"
2020-04-07,"AC","70 - 79","F",1
2020-04-15,"AC","70 - 79","M",1
2020-04-18,"AC","50 - 59","M",1
2020-04-20,"AC","40 - 49","M",1
2020-04-21,"AC","20 - 29","M",1
2020-03-23,"AL","60 - 69","M",1
2020-03-30,"AL","60 - 69","M",1
2020-04-01,"AL","70 - 79","M",1
2020-04-08,"AL","70 - 79","F",1
2020-04-09,"AL","40 - 49","M",1
2020-04-09,"AL","60 - 69","F",1
2020-04-09,"AL","80 - 89","F",1
2020-04-10,"AL","70 - 79","M",1
2020-04-17,"AL","70 - 79","M",1
2020-04-17,"AL","80 - 89","M",1
2020-04-18,"AL","40 - 49","M",1
2020-04-18,"AL","50 - 59","F",1
2020-04-19,"AL","60 - 69","M",1
2020-04-20,"AL","60 - 69","F",2
2020-04-22,"AL","60 - 69","F",1
2020-03-30,"AM","40 - 49","M",1
2020-04-01,"AM","40 - 49","M",1
2020-04-02,"AM","60 - 69","M",1
2020-04-03,"AM","70 - 79","F",2
2020-04-03,"AM","80 - 89","M",1
2020-04-04,"AM","70 - 79","F",1
2020-04-04,"AM","70 - 79","M",1
2020-04-06,"AM","40 - 49","M",1
2020-04-06,"AM","60 - 69","M",1
2020-04-07,"AM","40 - 49","M",1
2020-04-07,"AM","50 - 59","M",1
2020-04-07,"AM","60 - 69","M",2
2020-04-07,"AM","70 - 79","M",1
2020-04-07,"AM","80 - 89","M",1
2020-04-08,"AM","30 - 39","M",1
2020-04-08,"AM","90 - 99","M",1
2020-04-09,"AM","40 - 49","M",1
2020-04-09,"AM","40 - 49","F",1
2020-04-09,"AM","60 - 69","M",1
2020-04-09,"AM","80 - 89","M",2
2020-04-10,"AM","50 - 59","M",1
2020-04-10,"AM","60 - 69","F",1
2020-04-10,"AM","70 - 79","M",2
2020-04-10,"AM","80 - 89","F",2
2020-04-10,"AM","> 100","F",1
2020-04-11,"AM","20 - 29","F",1
2020-04-11,"AM","30 - 39","F",1
2020-04-11,"AM","40 - 49","M",1
2020-04-11,"AM","50 - 59","M",1
2020-04-11,"AM","60 - 69","F",2
2020-04-11,"AM","60 - 69","M",2
2020-04-11,"AM","70 - 79","M",3
2020-04-11,"AM","80 - 89","M",1
2020-04-12,"AM","40 - 49","F",1
2020-04-12,"AM","60 - 69","M",1
2020-04-12,"AM","90 - 99","M",1
2020-04-13,"AM","30 - 39","M",1
2020-04-13,"AM","50 - 59","F",1
2020-04-13,"AM","60 - 69","M",1
2020-04-14,"AM","40 - 49","F",1
2020-04-14,"AM","40 - 49","M",1
2020-04-14,"AM","50 - 59","F",1
2020-04-14,"AM","60 - 69","M",2
2020-04-14,"AM","70 - 79","M",3
2020-04-14,"AM","80 - 89","F",1
2020-04-15,"AM","40 - 49","M",1
2020-04-15,"AM","50 - 59","M",1
2020-04-15,"AM","60 - 69","M",2
2020-04-15,"AM","60 - 69","F",2
2020-04-15,"AM","70 - 79","M",1
2020-04-15,"AM","80 - 89","F",1
2020-04-15,"AM","80 - 89","M",1
2020-04-16,"AM","60 - 69","M",2
2020-04-17,"AM","30 - 39","M",1
2020-04-17,"AM","40 - 49","M",1
2020-04-17,"AM","50 - 59","M",2
2020-04-17,"AM","60 - 69","M",1
2020-04-17,"AM","60 - 69","F",1
2020-04-17,"AM","70 - 79","F",1
2020-04-17,"AM","70 - 79","M",1
2020-04-17,"AM","80 - 89","F",1
2020-04-18,"AM","30 - 39","F",1
2020-04-18,"AM","40 - 49","M",1
2020-04-18,"AM","50 - 59","F",2
2020-04-18,"AM","50 - 59","M",1
2020-04-18,"AM","60 - 69","F",3
2020-04-18,"AM","60 - 69","M",2
2020-04-18,"AM","70 - 79","M",3
2020-04-18,"AM","70 - 79","F",2
2020-04-18,"AM","80 - 89","M",2
2020-04-18,"AM","80 - 89","F",1
2020-04-19,"AM","30 - 39","M",1
2020-04-19,"AM","40 - 49","M",1
2020-04-19,"AM","50 - 59","M",1
2020-04-19,"AM","60 - 69","M",2
2020-04-19,"AM","60 - 69","F",1
2020-04-19,"AM","80 - 89","M",1
2020-04-20,"AM","40 - 49","M",2
2020-04-20,"AM","50 - 59","M",2
2020-04-20,"AM","60 - 69","F",2
