"list_date","list_age","list_gender","list_death"
2020-03-16,"60 - 69","F",1
2020-03-16,"60 - 69","M",2
2020-03-16,"70 - 79","F",1
2020-03-16,"70 - 79","M",1
2020-03-16,"80 - 89","F",1
2020-03-17,"80 - 89","F",1
2020-03-17,"80 - 89","M",1
2020-03-18,"30 - 39","M",2
2020-03-18,"60 - 69","F",1
2020-03-18,"60 - 69","M",2
2020-03-18,"80 - 89","M",2
2020-03-19,"40 - 49","F",1
2020-03-19,"70 - 79","F",2
2020-03-19,"80 - 89","F",3
2020-03-19,"80 - 89","M",2
2020-03-19,"90 - 99","M",1
2020-03-20,"30 - 39","F",1
2020-03-20,"40 - 49","M",1
2020-03-20,"60 - 69","M",1
2020-03-20,"70 - 79","F",3
2020-03-20,"80 - 89","F",2
2020-03-20,"80 - 89","M",1
2020-03-20,"90 - 99","F",1
2020-03-21,"30 - 39","F",1
2020-03-21,"40 - 49","F",1
2020-03-21,"40 - 49","M",1
2020-03-21,"50 - 59","F",1
2020-03-21,"50 - 59","M",1
2020-03-21,"60 - 69","F",1
2020-03-21,"60 - 69","M",1
2020-03-21,"70 - 79","F",3
2020-03-21,"70 - 79","M",3
2020-03-21,"80 - 89","F",1
2020-03-21,"80 - 89","M",3
2020-03-21,"90 - 99","F",1
2020-03-22,"40 - 49","M",3
2020-03-22,"50 - 59","F",1
2020-03-22,"50 - 59","M",2
2020-03-22,"60 - 69","F",2
2020-03-22,"60 - 69","M",2
2020-03-22,"70 - 79","F",2
2020-03-22,"70 - 79","M",7
2020-03-22,"80 - 89","F",3
2020-03-22,"80 - 89","M",6
2020-03-22,"90 - 99","F",1
2020-03-23,"30 - 39","M",1
2020-03-23,"40 - 49","F",1
2020-03-23,"50 - 59","M",1
2020-03-23,"60 - 69","F",4
2020-03-23,"60 - 69","M",4
2020-03-23,"70 - 79","F",2
2020-03-23,"70 - 79","M",4
2020-03-23,"80 - 89","F",4
2020-03-23,"80 - 89","M",5
2020-03-23,"90 - 99","F",1
2020-03-24,"30 - 39","F",3
2020-03-24,"30 - 39","M",1
2020-03-24,"50 - 59","F",4
2020-03-24,"50 - 59","M",2
2020-03-24,"60 - 69","F",5
2020-03-24,"60 - 69","M",3
